label,statement,party_affiliation,barely_true,false,half_true,mostly_true,speaker_length,job_title_length,state_category,total_history,truth_index,context_group,statement_length,proper_nouns,adjectives,other,lexical_diversity
1,Says the Annies List political group supports third-trimester abortions on demand.,republican,0.0,0.0,0.0,0.0,12,20.0,texas,0.0,0.0,campaign_ads,82,0.1666666666666666,0.0833333333333333,0.1666666666666666,1.0
3,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,democrat,0.0,0.0,0.0,1.0,14,14.0,other,1.0,0.4,live,141,0.1428571428571428,0.0357142857142857,0.3214285714285714,0.9285714285714286
4,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",democrat,70.0,71.0,160.0,162.0,12,9.0,illinois,472.0,0.5661733615221987,other,105,0.3181818181818182,0.0,0.2727272727272727,0.9545454545454546
1,Health care reform legislation is likely to mandate free sex change surgeries.,other,7.0,18.0,3.0,5.0,12,,other,77.0,0.1564102564102564,official,78,0.0769230769230769,0.1538461538461538,0.1538461538461538,1.0
3,The economic turnaround started at the end of my term.,democrat,15.0,9.0,19.0,19.0,13,,florida,64.0,0.5292307692307692,broadcast,54,0.0,0.0909090909090909,0.2727272727272727,0.9090909090909092
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,republican,0.0,3.0,2.0,5.0,9,26.0,wisconsin,11.0,0.4833333333333333,other,155,0.1,0.1666666666666666,0.3,0.8666666666666667
2,Jim Dunnam has not lived in the district he represents for years now.,republican,2.0,1.0,1.0,3.0,22,,texas,8.0,0.4444444444444444,official,69,0.1428571428571428,0.0,0.1428571428571428,1.0
3,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",democrat,70.0,71.0,159.0,163.0,12,9.0,illinois,472.0,0.5665961945031712,campaign_ads,159,0.0967741935483871,0.0967741935483871,0.2580645161290322,0.935483870967742
3,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",other,0.0,0.0,0.0,0.0,14,,other,1.0,0.0,other,144,0.3076923076923077,0.0384615384615384,0.3076923076923077,0.9615384615384616
4,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,republican,0.0,0.0,0.0,0.0,13,20.0,wisconsin,0.0,0.0,other,132,0.217391304347826,0.0869565217391304,0.217391304347826,0.9565217391304348
4,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",democrat,1.0,3.0,1.0,2.0,15,12.0,other,7.0,0.4,live,116,0.0434782608695652,0.1739130434782608,0.2608695652173913,0.782608695652174
3,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",other,18.0,12.0,21.0,41.0,8,12.0,other,92.0,0.5913978494623656,social_media,94,0.0555555555555555,0.0555555555555555,0.3333333333333333,1.0
1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",republican,34.0,31.0,58.0,33.0,11,15.0,other,175.0,0.4602272727272727,broadcast,124,0.12,0.0,0.2,0.84
4,The economy bled $24 billion due to the government shutdown.,other,0.0,0.0,2.0,3.0,10,,other,5.0,0.6000000000000001,other,60,0.0,0.0833333333333333,0.5833333333333334,0.9166666666666666
2,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,other,6.0,6.0,3.0,5.0,11,9.0,other,21.0,0.4272727272727273,broadcast,95,0.1578947368421052,0.0526315789473684,0.2631578947368421,1.0
3,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",other,18.0,12.0,21.0,41.0,8,12.0,other,92.0,0.5913978494623656,other,181,0.0256410256410256,0.1025641025641025,0.3846153846153846,0.6666666666666666
5,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,democrat,70.0,71.0,160.0,163.0,12,9.0,illinois,473.0,0.5666666666666668,broadcast,146,0.0909090909090909,0.1363636363636363,0.2727272727272727,0.9545454545454546
2,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",republican,17.0,9.0,8.0,5.0,43,,other,47.0,0.3625,official,116,0.25,0.0416666666666666,0.1666666666666666,0.9166666666666666
3,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",democrat,3.0,4.0,3.0,3.0,10,33.0,wisconsin,14.0,0.4133333333333333,other,125,0.2,0.04,0.36,0.92
4,"Almost 100,000 people left Puerto Rico last year.",democrat,0.0,1.0,0.0,0.0,8,19.0,other,1.0,0.1,broadcast,49,0.2222222222222222,0.1111111111111111,0.2222222222222222,1.0
1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,republican,0.0,3.0,1.0,2.0,17,20.0,other,6.0,0.4,campaign_ads,117,0.0952380952380952,0.0476190476190476,0.1904761904761904,0.9523809523809524
4,The United States has the highest corporate tax rate in the free world.,other,2.0,1.0,1.0,0.0,12,40.0,other,4.0,0.32,broadcast,71,0.1428571428571428,0.2142857142857142,0.2857142857142857,0.8571428571428571
4,We just had the best year for the auto industry in America in history.,democrat,40.0,29.0,69.0,75.0,15,22.0,new york,220.0,0.5574660633484163,live,70,0.0666666666666666,0.0666666666666666,0.2,0.8666666666666667
3,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",other,3.0,3.0,2.0,1.0,32,,wisconsin,10.0,0.3454545454545454,broadcast,85,0.1333333333333333,0.0,0.2666666666666666,1.0
2,Says Mitt Romney wants to get rid of Planned Parenthood.,other,0.0,0.0,0.0,0.0,30,14.0,other,0.0,0.0,broadcast,56,0.2727272727272727,0.1818181818181818,0.1818181818181818,1.0
1,I dont know who (Jonathan Gruber) is.,democrat,3.0,6.0,11.0,2.0,12,21.0,other,25.0,0.4076923076923077,live,37,0.2,0.0,0.4,1.0
4,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,democrat,40.0,29.0,69.0,75.0,15,22.0,new york,220.0,0.5574660633484163,live,93,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.9333333333333332
3,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,republican,0.0,0.0,1.0,0.0,10,8.0,texas,3.0,0.15,other,136,0.125,0.0833333333333333,0.25,0.9166666666666666
1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",other,0.0,0.0,1.0,0.0,13,49.0,new york,1.0,0.3,social_media,87,0.1764705882352941,0.0,0.2941176470588235,0.875
4,Youth unemployment in minority communities is about 40 to 45 percent.,republican,0.0,0.0,0.0,0.0,12,19.0,other,1.0,0.0,live,69,0.0833333333333333,0.0,0.3333333333333333,1.0
5,Says Paul Ryan is still endorsing Trump.,democrat,40.0,29.0,69.0,76.0,15,22.0,new york,221.0,0.5585585585585585,social_media,40,0.375,0.0,0.125,1.0
2,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",republican,0.0,0.0,0.0,0.0,15,13.0,other,0.0,0.0,broadcast,132,0.0,0.0769230769230769,0.1538461538461538,0.9230769230769232
1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,republican,1.0,0.0,0.0,0.0,20,28.0,other,1.0,0.2,campaign_ads,171,0.0285714285714285,0.1142857142857142,0.3142857142857143,0.8
4,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,republican,28.0,23.0,38.0,33.0,10,8.0,florida,129.0,0.5,live,84,0.0,0.0588235294117647,0.1764705882352941,0.8235294117647058
4,Says Mark Pryor votes with Obama 93 percent of the time.,republican,3.0,4.0,2.0,2.0,10,29.0,other,12.0,0.3692307692307693,live,56,0.25,0.0,0.25,1.0
5,We have a federal government that thinks they have the authority to regulate our toilet seats.,republican,36.0,33.0,15.0,19.0,8,7.0,texas,111.0,0.4035714285714286,live,94,0.0,0.0588235294117647,0.2352941176470588,0.9411764705882352
5,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,democrat,1.0,0.0,4.0,1.0,15,12.0,texas,6.0,0.5142857142857142,campaign_ads,94,0.05,0.0,0.25,1.0
5,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",other,0.0,0.0,0.0,0.0,11,,other,0.0,0.0,official,200,0.1111111111111111,0.1388888888888889,0.3333333333333333,0.6944444444444444
0,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",other,0.0,0.0,0.0,0.0,12,,other,0.0,0.0,broadcast,131,0.2272727272727272,0.0454545454545454,0.3181818181818182,0.8636363636363636
5,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",republican,2.0,1.0,1.0,4.0,12,12.0,other,8.0,0.5333333333333334,other,127,0.2222222222222222,0.0,0.4814814814814814,0.6666666666666666
1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,republican,33.0,23.0,32.0,35.0,11,12.0,florida,128.0,0.5038759689922481,live,108,0.25,0.05,0.2,0.95
3,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,republican,0.0,1.0,0.0,0.0,18,,other,1.0,0.1,broadcast,87,0.2352941176470588,0.0,0.3529411764705882,0.9411764705882352
0,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",republican,18.0,9.0,8.0,5.0,43,,other,47.0,0.3708333333333333,official,104,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.9411764705882352
0,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,other,6.0,6.0,4.0,6.0,13,10.0,other,22.0,0.4695652173913043,broadcast,136,0.16,0.08,0.2,0.96
1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,republican,1.0,0.0,1.0,3.0,15,23.0,texas,5.0,0.5666666666666668,live,145,0.0,0.037037037037037,0.3333333333333333,0.8888888888888888
3,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,other,18.0,12.0,21.0,41.0,8,12.0,other,92.0,0.5913978494623656,live,93,0.0,0.1428571428571428,0.2857142857142857,0.6428571428571429
0,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",other,11.0,43.0,8.0,5.0,11,,other,171.0,0.1267441860465116,other,92,0.0625,0.0625,0.3125,1.0
1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,republican,13.0,21.0,11.0,4.0,12,39.0,ohio,51.0,0.3692307692307692,broadcast,97,0.1764705882352941,0.0588235294117647,0.1764705882352941,0.9411764705882352
0,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,republican,0.0,0.0,0.0,0.0,15,,other,0.0,0.0,broadcast,129,0.28,0.0,0.28,0.92
5,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,other,7.0,19.0,3.0,5.0,12,,other,78.0,0.1569620253164557,other,78,0.1666666666666666,0.0833333333333333,0.3333333333333333,1.0
